Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
All,Chrome 78.0.3904.108,,2019-12-09 01:54:25,2019-12-09 01:57:06,2m - 41.201s,FAILED
,,,,,,
Test Cases/regression/header and footer Desktop/Footer Categories Desktop,Chrome 78.0.3904.108,,2019-12-09 01:54:25,2019-12-09 01:54:36,10.844s,PASSED
"openBrowser("""")",Chrome 78.0.3904.108,,2019-12-09 01:54:25,2019-12-09 01:54:28,2.778s,PASSED
"navigateToUrl(""http://automationpractice.com/index.php"")",Chrome 78.0.3904.108,,2019-12-09 01:54:28,2019-12-09 01:54:33,4.523s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Footer elements/h4_Categories""), 2)",Chrome 78.0.3904.108,,2019-12-09 01:54:33,2019-12-09 01:54:33,0.076s,PASSED
"click(findTestObject(""Footer elements/a_Women""))",Chrome 78.0.3904.108,,2019-12-09 01:54:33,2019-12-09 01:54:35,2.103s,PASSED
CurrentUrL = getUrl(),Chrome 78.0.3904.108,,2019-12-09 01:54:35,2019-12-09 01:54:35,0.032s,PASSED
"verifyMatch(CurrentUrL, ""http://automationpractice.com/index.php?id_category=3&controller=category"", false)",Chrome 78.0.3904.108,,2019-12-09 01:54:35,2019-12-09 01:54:35,0.021s,PASSED
"takeScreenshot(""TestScreenShots/WomenPage.png"")",Chrome 78.0.3904.108,,2019-12-09 01:54:35,2019-12-09 01:54:36,0.843s,PASSED
closeBrowser(),Chrome 78.0.3904.108,,2019-12-09 01:54:36,2019-12-09 01:54:36,0.122s,PASSED
,,,,,,
Test Cases/regression/header and footer Desktop/Footer Follow us Desktop,Chrome 78.0.3904.108,,2019-12-09 01:54:36,2019-12-09 01:54:50,14.511s,PASSED
"openBrowser("""")",Chrome 78.0.3904.108,,2019-12-09 01:54:36,2019-12-09 01:54:38,1.402s,PASSED
"navigateToUrl(""http://automationpractice.com/index.php"")",Chrome 78.0.3904.108,,2019-12-09 01:54:38,2019-12-09 01:54:42,4.613s,PASSED
"scrollToPosition(9999999, 9999999)",Chrome 78.0.3904.108,,2019-12-09 01:54:42,2019-12-09 01:54:42,0.039s,PASSED
"verifyElementPresent(findTestObject(""Footer elements/h4_Follow us""), 1)",Chrome 78.0.3904.108,,2019-12-09 01:54:42,2019-12-09 01:54:42,0.046s,PASSED
"verifyElementPresent(findTestObject(""Footer elements/a_Facebook""), 1)",Chrome 78.0.3904.108,,2019-12-09 01:54:42,2019-12-09 01:54:42,0.028s,PASSED
"verifyElementPresent(findTestObject(""Footer elements/a_Twitter""), 1)",Chrome 78.0.3904.108,,2019-12-09 01:54:42,2019-12-09 01:54:42,0.021s,PASSED
"verifyElementPresent(findTestObject(""Footer elements/a_Youtube""), 1)",Chrome 78.0.3904.108,,2019-12-09 01:54:42,2019-12-09 01:54:42,0.024s,PASSED
"verifyElementPresent(findTestObject(""Footer elements/a_Google Plus""), 1)",Chrome 78.0.3904.108,,2019-12-09 01:54:42,2019-12-09 01:54:42,0.025s,PASSED
"verifyLinksAccessible([""https://www.facebook.com/groups/525066904174158/"", ""https://twitter.com/seleniumfrmwrk"", ""https://www.youtube.com/channel/UCHl59sI3SRjQ-qPcTrgt0tA"", ""https://accounts.google.com/signin/v2/identifier?passive=1209600&osid=1&continue=https%3A%2F%2Fplus.google.com%2F111979135243110831526%2Fposts&followup=https%3A%2F%2Fplus.google.com%2F111979135243110831526%2Fposts&flowName=GlifWebSignIn&flowEntry=ServiceLogin""])",Chrome 78.0.3904.108,,2019-12-09 01:54:42,2019-12-09 01:54:50,7.263s,PASSED
"takeScreenshot(""TestScreenShots/Footer.png"")",Chrome 78.0.3904.108,,2019-12-09 01:54:50,2019-12-09 01:54:50,0.577s,PASSED
closeBrowser(),Chrome 78.0.3904.108,,2019-12-09 01:54:50,2019-12-09 01:54:50,0.172s,PASSED
,,,,,,
Test Cases/regression/header and footer Desktop/Footer Information Desktop,Chrome 78.0.3904.108,,2019-12-09 01:54:50,2019-12-09 01:55:04,13.900s,PASSED
"openBrowser("""")",Chrome 78.0.3904.108,,2019-12-09 01:54:51,2019-12-09 01:54:53,1.589s,PASSED
"navigateToUrl(""http://automationpractice.com/index.php"")",Chrome 78.0.3904.108,,2019-12-09 01:54:53,2019-12-09 01:54:57,4.513s,PASSED
"scrollToPosition(9999999, 9999999)",Chrome 78.0.3904.108,,2019-12-09 01:54:57,2019-12-09 01:54:57,0.014s,PASSED
"verifyElementVisible(findTestObject(""Footer elements/h4_Information""))",Chrome 78.0.3904.108,,2019-12-09 01:54:57,2019-12-09 01:54:57,0.059s,PASSED
"verifyElementPresent(findTestObject(""Footer elements/a_Specials""), 1)",Chrome 78.0.3904.108,,2019-12-09 01:54:57,2019-12-09 01:54:57,0.022s,PASSED
"verifyElementPresent(findTestObject(""Footer elements/a_New products""), 1)",Chrome 78.0.3904.108,,2019-12-09 01:54:57,2019-12-09 01:54:57,0.023s,PASSED
"verifyElementPresent(findTestObject(""Footer elements/a_Best sellers""), 1)",Chrome 78.0.3904.108,,2019-12-09 01:54:57,2019-12-09 01:54:57,0.025s,PASSED
"verifyElementPresent(findTestObject(""Footer elements/a_Our stores""), 1)",Chrome 78.0.3904.108,,2019-12-09 01:54:57,2019-12-09 01:54:57,0.027s,PASSED
"verifyElementPresent(findTestObject(""Footer elements/a_Contact us""), 1)",Chrome 78.0.3904.108,,2019-12-09 01:54:57,2019-12-09 01:54:57,0.020s,PASSED
"verifyElementPresent(findTestObject(""Footer elements/a_Terms and conditions of use""), 1)",Chrome 78.0.3904.108,,2019-12-09 01:54:57,2019-12-09 01:54:57,0.023s,PASSED
